year_month,sentiment_BR,total_BR,sentiment_BRG1665,sentiment_BRG1666,sentiment_BRG1667,sentiment_BRG1668,sentiment_BRG1669,sentiment_BRG1670,sentiment_BRG1671,sentiment_BRG1672,sentiment_BRG1673,sentiment_BRG1674,sentiment_BRG1675,sentiment_BRG1676,sentiment_BRG1677,sentiment_BRG1678,sentiment_BRG1679,sentiment_BRG1680,sentiment_BRG1681,sentiment_BRG1682,sentiment_BRG1683,sentiment_BRG1685,sentiment_BRG1686,sentiment_BRG1687,sentiment_BRG1688,sentiment_BRG1689,sentiment_BRG1690,sentiment_BRG1691,year,month,population_growth_annual_percent,population_density_people_per_sq_km_of_land_area,poverty_headcount_ratio_at_2_15_a_day_2017_ppp_percent_of_population,gni_per_capita_ppp_current_international,income_share_held_by_lowest_20_percent,life_expectancy_at_birth_total_years,fertility_rate_total_births_per_woman,adolescent_fertility_rate_births_per_1_000_women_ages_15_19,births_attended_by_skilled_health_staff_percent_of_total,mortality_rate_under_5_per_1_000_live_births,school_enrollment_primary_percent_gross,school_enrollment_secondary_percent_gross,school_enrollment_primary_and_secondary_gross_gender_parity_index_gpi,annual_freshwater_withdrawals_total_percent_of_internal_resources,urban_population_growth_annual_percent,gdp_growth_annual_percent,gross_capital_formation_percent_of_gdp,mobile_cellular_subscriptions_per_100_people,statistical_capacity_score_overall_average_scale_0_100,people_using_safely_managed_drinking_water_services_percent_of_population,hospital_beds_per_1_000_people,nurses_and_midwives_per_1_000_people,physicians_per_1_000_people
2013-01-01T00:00:00Z,-0.10795820972526764,7753,-0.02564102564102564,-0.010309278350515464,-0.061224489795918366,-0.11764705882352941,-0.09223300970873786,-0.060714285714285714,-0.020833333333333332,-0.14655172413793102,-0.08074534161490683,-0.08906882591093117,0,-0.08661417322834646,-0.10954063604240283,-0.08823529411764706,-0.03981264637002342,-0.13671875,-0.04186046511627907,0,-0.13793103448275862,-0.0823327615780446,0,-0.22727272727272727,-0.12658227848101267,-0.16226978596316574,-0.04,-0.2727272727272727,2013,1,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-02-01T00:00:00Z,-0.1392174704276615,1099,0,-0.14285714285714285,0,-0.06896551724137931,-0.09090909090909091,-0.16666666666666666,-0.027777777777777776,-0.047619047619047616,-0.0967741935483871,0,-0.16666666666666666,-0.11764705882352941,-0.14782608695652175,0.2,-0.075,-0.11320754716981132,-0.10526315789473684,0,-0.4,-0.11578947368421053,0,0,-0.24489795918367346,-0.21631205673758866,0,0,2013,2,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-03-01T00:00:00Z,-0.1053763440860215,930,0,0,0,-0.05,-0.09090909090909091,-0.07407407407407407,-0.05555555555555555,-0.09090909090909091,0,0,-0.125,-0.22727272727272727,-0.11282051282051282,0,-0.061224489795918366,-0.17647058823529413,-0.008695652173913044,0,0,-0.21505376344086022,0,0,-0.043478260869565216,-0.15976331360946747,0,0,2013,3,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-04-01T00:00:00Z,-0.12956754944686558,17898,-0.06172839506172839,-0.03374233128834356,-0.06896551724137931,-0.10073710073710074,-0.06535947712418301,-0.056896551724137934,-0.1136890951276102,-0.11524163568773234,-0.0798004987531172,-0.08270676691729323,-0.11827956989247312,-0.11312217194570136,-0.10386912490262269,-0.13513513513513514,-0.06296691568836713,-0.15280898876404495,-0.05794392523364486,0,-0.15217391304347827,-0.23485653560042508,-0.022727272727272728,-0.03773584905660377,-0.15807560137457044,-0.16960208741030658,-0.034482758620689655,-0.045454545454545456,2013,4,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-05-01T00:00:00Z,-0.19188792963023293,12278,-0.13636363636363635,-0.06593406593406594,-0.11392405063291139,-0.08024691358024691,-0.13465346534653466,-0.0855614973262032,-0.12558139534883722,-0.17757009345794392,-0.1523809523809524,-0.14761904761904762,-0.08108108108108109,-0.10909090909090909,-0.16846813268729036,-0.21739130434782608,-0.09075342465753425,-0.23665480427046262,-0.08333333333333333,-0.047619047619047616,-0.20588235294117646,-0.26068633353401566,0,-0.15217391304347827,-0.20105820105820105,-0.26673360107095045,-0.02666666666666667,-0.058823529411764705,2013,5,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-06-01T00:00:00Z,-0.08734222863324918,13865,-0.04477611940298507,-0.027932960893854747,-0.042105263157894736,-0.057034220532319393,-0.05644171779141104,-0.03932584269662921,-0.05458089668615984,-0.085,-0.06179775280898876,-0.0708955223880597,-0.0641025641025641,-0.10240963855421686,-0.09130300216651191,-0.05263157894736842,-0.04642857142857143,-0.07296849087893864,-0.0189873417721519,0,-0.1791044776119403,-0.1216,0,-0.018518518518518517,-0.11781609195402298,-0.13558106169296988,0.009523809523809525,0,2013,6,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-07-01T00:00:00Z,-0.11678417102569934,8794,-0.13043478260869565,-0.01680672268907563,-0.041666666666666664,-0.109375,-0.09926470588235294,-0.05956112852664577,-0.04329004329004329,-0.11194029850746269,-0.0728744939271255,-0.053763440860215055,0,-0.11904761904761904,-0.1432027092404451,-0.07692307692307693,-0.05918367346938776,-0.1331168831168831,-0.03137254901960784,0,-0.26666666666666666,-0.12140992167101827,-0.07692307692307693,-0.047619047619047616,-0.12345679012345678,-0.15774514448128849,-0.013333333333333334,-0.29411764705882354,2013,7,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-08-01T00:00:00Z,-0.08071998515494526,10778,-0.075,0.006666666666666667,-0.006211180124223602,-0.10824742268041238,-0.07580645161290323,-0.0625,-0.046511627906976744,-0.128,-0.06944444444444445,-0.01775147928994083,-0.10416666666666667,-0.04608294930875576,-0.09251439539347409,-0.15151515151515152,-0.044189852700491,-0.08676789587852494,-0.012658227848101266,0,-0.1951219512195122,-0.07902298850574713,0,-0.0625,-0.09389671361502347,-0.10759252193819153,-0.011111111111111112,-0.09090909090909091,2013,8,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-09-01T00:00:00Z,-0.07608446178563232,8714,-0.09375,-0.0891089108910891,0,-0.10204081632653061,-0.05672609400324149,-0.024608501118568233,-0.031007751937984496,-0.05136986301369863,-0.05555555555555555,-0.04807692307692308,0,-0.06289308176100629,-0.076007326007326,0,-0.04554079696394687,-0.13355048859934854,-0.027586206896551724,-0.05263157894736842,-0.15555555555555556,-0.1018867924528302,0,0,-0.16346153846153846,-0.1181977764774722,-0.008403361344537815,0,2013,9,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
2013-10-01T00:00:00Z,-0.09329680953915566,6206,0,-0.05357142857142857,-0.024390243902439025,-0.0603448275862069,-0.0694006309148265,-0.04477611940298507,-0.10648148148148148,-0.06896551724137931,-0.06474820143884892,-0.04419889502762431,-0.05555555555555555,-0.07751937984496124,-0.10968178740690589,-0.14285714285714285,-0.03571428571428571,-0.10204081632653061,0,0,-0.1935483870967742,-0.1013215859030837,-0.0625,0,-0.1259259259259259,-0.12944983818770225,0,0,2013,10,0.8683462,24.13477,3.7,15320,3.5,73.918,1.748,63.0646,98,16.7,109.9451,103.9177,1.01665,1.190697,1.204556,3.004823,21.69377,134.3929,75.55556,80.41174,2.25,7.5635,1.882
